FECHA,CAUDAL,TURB,COLOR
2/19/2020,4,1,0
2/20/2020,4,1,0
2/21/2020,5,1,0
2/22/2020,3,1,0
2/23/2020,3,1,0
2/24/2020,3,1,0
2/25/2020,2,1,0
2/26/2020,4,1,0
2/27/2020,3,1,0
2/28/2020,2,1,0
2/29/2020,4,1,0
3/1/2020,4,1,0
3/2/2020,2,1,0
3/3/2020,5,1,0
3/4/2020,2,1,0
3/5/2020,4,1,0
3/6/2020,4,1,0
3/7/2020,2,1,0
3/8/2020,2,1,0
3/9/2020,4,1,0
3/10/2020,5,1,0
3/11/2020,5,1,0
3/12/2020,4,1,0
3/13/2020,2,1,0
3/14/2020,3,1,0
3/15/2020,2,1,0
3/16/2020,5,1,0
3/17/2020,5,1,0
3/18/2020,5,1,0
3/19/2020,2,1,0
3/20/2020,3.62,0.13,0
3/21/2020,2.74,152,9
3/22/2020,4,1,0
3/23/2020,2,90,12
3/24/2020,2,1,0
3/25/2020,2,121,8
3/26/2020,2,1,0
