FECHA,CAUDAL,TURB,COLOR
2/19/2020,1,30,10
2/20/2020,1,13,4
2/21/2020,1,13,4
2/22/2020,1,21,8
2/23/2020,1,15,6
2/24/2020,1,15,4
2/25/2020,1,28,5
2/26/2020,1,14,5
2/27/2020,1,32,10
2/28/2020,1,29,10
2/29/2020,1,15,6
3/1/2020,1,27,4
3/2/2020,1,24,8
3/3/2020,1,24,7
3/4/2020,1,14,9
3/5/2020,1,23,10
3/6/2020,1,32,8
3/7/2020,1,28,8
3/8/2020,1,19,8
3/9/2020,1,29,7
3/10/2020,1,11,8
3/11/2020,1,33,8
3/12/2020,1,17,6
3/13/2020,1,28,6
3/14/2020,1,25,6
3/15/2020,1,14,8
3/16/2020,1,13,8
3/17/2020,1,29,10
3/18/2020,1,27,4
3/19/2020,1,18,9
3/20/2020,1.16,22,7
3/21/2020,1.039,50,20
3/22/2020,1,13,6
3/23/2020,1,66,12
3/24/2020,1,11,8
3/25/2020,1,96,17
3/26/2020,1,12,7
