Fecha,COAG-DISP,CAOG-DUR,DESINF-DISP,DESINF-DUR
2/19/2020,41,25,6,12
2/20/2020,115,49,12,17
2/21/2020,81,52,12,18
2/22/2020,138,8,14,30
2/23/2020,137,69,1,9
2/24/2020,45,4,11,63
2/25/2020,110,56,4,55
2/26/2020,34,4,2,13
2/27/2020,49,31,12,26
2/28/2020,142,41,4,12
2/29/2020,29,39,6,50
3/1/2020,208,55,13,49
3/2/2020,58,15,12,48
3/3/2020,32,23,4,69
3/4/2020,141,54,2,67
3/5/2020,25,9,4,13
3/6/2020,39,60,1,52
3/7/2020,168,55,10,5
3/8/2020,15,34,3,7
3/9/2020,94,54,6,21
3/10/2020,40,76,2,26
3/11/2020,115,36,2,18
3/12/2020,129,44,3,57
3/13/2020,28,66,11,4
3/14/2020,208,27,3,67
3/15/2020,178,6,6,47
3/16/2020,137,53,11,43
3/17/2020,74,22,8,22
3/18/2020,196,52,10,9
3/19/2020,74,31,7,7
3/20/2020,112.328,40,7.389,37
3/21/2020,109.868,39,7309,36
3/22/2020,50,11,13,52
3/23/2020,80,49,14,12
3/24/2020,41,68,9,47
3/25/2020,148,60,7,7
3/26/2020,18,24,7,69
