Fecha,COAG-DISP,CAOG-DUR,DESINF-DISP,DESINF-DUR
2/19/2020,65,99,3,62
2/20/2020,12,79,6,40
2/21/2020,40,11,8,8
2/22/2020,18,46,6,90
2/23/2020,59,26,4,50
2/24/2020,45,45,2,90
2/25/2020,92,56,10,53
2/26/2020,65,40,1,109
2/27/2020,71,108,4,83
2/28/2020,25,31,6,11
2/29/2020,21,41,6,101
3/1/2020,8,48,11,36
3/2/2020,75,8,11,77
3/3/2020,34,67,4,12
3/4/2020,68,16,9,95
3/5/2020,86,37,7,66
3/6/2020,90,60,10,64
3/7/2020,86,44,10,86
3/8/2020,12,81,1,72
3/9/2020,18,109,12,104
3/10/2020,68,112,5,36
3/11/2020,65,29,6,80
3/12/2020,41,94,4,42
3/13/2020,27,33,11,19
3/14/2020,53,33,4,93
3/15/2020,66,113,11,59
3/16/2020,98,22,9,65
3/17/2020,48,28,4,36
3/18/2020,21,86,7,71
3/19/2020,30,79,2,89
3/20/2020,52.861,60,6.54,60
3/21/2020,51276,60,6517,60
3/22/2020,21,80,3,14
3/23/2020,34,45,2,24
3/24/2020,95,106,11,17
3/25/2020,70,29,2,110
3/26/2020,91,110,9,11
