Fecha,COAG-DISP,CAOG-DUR,DESINF-DISP,DESINF-DUR
2/19/2020,120,86,1,43
2/20/2020,52,71,5,98
2/21/2020,56,145,4,8
2/22/2020,14,21,5,105
2/23/2020,120,84,3,71
2/24/2020,69,153,5,37
2/25/2020,47,169,5,9
2/26/2020,23,90,6,57
2/27/2020,99,136,6,29
2/28/2020,88,110,1,119
2/29/2020,89,93,5,50
3/1/2020,76,20,7,52
3/2/2020,68,121,6,65
3/3/2020,104,178,1,84
3/4/2020,27,179,6,36
3/5/2020,88,100,4,118
3/6/2020,103,164,4,14
3/7/2020,110,186,4,38
3/8/2020,19,135,7,29
3/9/2020,13,38,6,18
3/10/2020,51,115,3,56
3/11/2020,68,67,3,15
3/12/2020,79,80,3,54
3/13/2020,33,86,2,113
3/14/2020,127,188,6,32
3/15/2020,122,128,4,23
3/16/2020,119,32,1,22
3/17/2020,75,40,5,52
3/18/2020,77,37,4,23
3/19/2020,52,51,5,93
3/20/2020,70.259,103,3.9,65
3/21/2020,70.102,103,3266,54
3/22/2020,112,153,4,95
3/23/2020,103,99,1,41
3/24/2020,115,158,2,7
3/25/2020,25,129,5,36
3/26/2020,126,64,4,91
