Fecha,CAPACIDAD,Q_TRATADO,Q_SUMINISTRO,PRO_DIARIA
2/19/2020,1529,1406,390,109162
2/20/2020,1363,1698,642,68219
2/21/2020,2847,627,628,60071
2/22/2020,1968,665,1318,73021
2/23/2020,1920,1623,1764,152852
2/24/2020,1774,626,1764,86964
2/25/2020,1850,1692,255,63502
2/26/2020,878,1547,686,58187
2/27/2020,1205,874,1755,111316
2/28/2020,3228,575,1614,60510
2/29/2020,2579,853,431,129742
3/1/2020,2174,1677,618,134298
3/2/2020,3076,1105,985,88790
3/3/2020,822,412,512,151572
3/4/2020,2623,954,1269,151541
3/5/2020,1119,877,729,121316
3/6/2020,2116,618,1767,52330
3/7/2020,935,408,1548,42426
3/8/2020,745,528,888,39020
3/9/2020,1442,1766,1346,131823
3/10/2020,2450,981,808,100208
3/11/2020,3017,1306,652,26409
3/12/2020,1864,538,685,140456
3/13/2020,1764,1361,491,51172
3/14/2020,2219,1332,1729,84544
3/15/2020,847,1115,1085,33538
3/16/2020,3271,555,1383,90555
3/17/2020,2922,1699,316,29829
3/18/2020,1664,226,1216,113646
3/19/2020,3318,508,1403,43184
3/20/2020,2000,1080,1045,93276
3/21/2020,2000,723,692,59789
3/22/2020,1927,600,1329,126277
3/23/2020,3305,1377,907,145394
3/24/2020,2969,316,1560,141845
3/25/2020,3213,1472,714,34048
3/26/2020,1243,574,228,122256
