Fecha,CAPACIDAD,Q_TRATADO,Q_SUMINISTRO,PRO_DIARIA
2/19/2020,1143,993,1259,59076
2/20/2020,327,371,1073,28334
2/21/2020,793,678,414,98848
2/22/2020,1668,1164,411,83282
2/23/2020,1158,940,489,69403
2/24/2020,713,265,1135,80156
2/25/2020,966,1198,291,39917
2/26/2020,313,1233,1003,49523
2/27/2020,1431,1126,1253,59008
2/28/2020,826,404,655,20484
2/29/2020,905,479,704,100762
3/1/2020,1318,948,212,113377
3/2/2020,605,411,887,83602
3/3/2020,569,889,1167,32863
3/4/2020,1428,442,1059,67293
3/5/2020,1264,1192,1166,15915
3/6/2020,621,1175,1081,113128
3/7/2020,806,444,386,17704
3/8/2020,331,942,871,89820
3/9/2020,733,604,1299,17097
3/10/2020,1420,741,436,79763
3/11/2020,356,899,207,39155
3/12/2020,598,831,1168,27387
3/13/2020,739,1126,1173,44469
3/14/2020,1385,418,1113,28792
3/15/2020,1254,1206,1211,58645
3/16/2020,1296,939,503,48578
3/17/2020,1129,916,426,95553
3/18/2020,1095,1154,1116,37237
3/19/2020,479,208,928,113832
3/20/2020,1000,783,777,67626
3/21/2020,1000,858,846,73094
3/22/2020,1474,879,927,15586
3/23/2020,409,598,852,57386
3/24/2020,529,716,659,112583
3/25/2020,534,632,1141,90301
3/26/2020,801,568,747,39144
