Fecha,CAPACIDAD,Q_TRATADO,Q_SUMINISTRO,PRO_DIARIA
2/19/2020,303,166,335,45847
2/20/2020,827,251,519,13590
2/21/2020,294,238,531,61542
2/22/2020,211,397,275,43678
2/23/2020,212,392,335,24005
2/24/2020,561,120,122,37472
2/25/2020,592,442,509,40368
2/26/2020,459,353,488,30208
2/27/2020,396,257,659,62491
2/28/2020,333,599,484,18926
2/29/2020,144,618,215,10713
3/1/2020,766,123,106,50724
3/2/2020,886,738,689,33335
3/3/2020,174,687,315,12077
3/4/2020,878,486,480,57306
3/5/2020,213,690,381,36140
3/6/2020,999,395,688,62746
3/7/2020,752,314,293,24732
3/8/2020,316,615,450,60810
3/9/2020,704,131,138,7720
3/10/2020,581,411,108,55366
3/11/2020,316,328,179,62677
3/12/2020,872,485,531,40054
3/13/2020,797,596,666,22717
3/14/2020,454,692,587,34789
3/15/2020,282,437,394,25902
3/16/2020,811,175,696,28969
3/17/2020,347,571,307,22766
3/18/2020,841,422,110,17226
3/19/2020,650,600,132,29444
3/20/2020,600,437,420,37757
3/21/2020,600,427,410,35424
3/22/2020,611,378,391,58668
3/23/2020,961,631,490,59732
3/24/2020,195,477,521,60869
3/25/2020,371,562,195,27636
3/26/2020,586,253,501,43081
