Fecha,CNX_TOT,CNX_PEN
2/19/2020,1367,703
2/20/2020,1367,703
2/21/2020,1367,703
2/22/2020,1367,703
2/23/2020,1367,703
2/24/2020,1367,703
2/25/2020,1367,703
2/26/2020,1367,703
2/27/2020,1367,703
2/28/2020,1367,703
2/29/2020,1367,703
3/1/2020,1367,703
3/2/2020,1367,703
3/3/2020,1367,703
3/4/2020,1367,703
3/5/2020,1367,703
3/6/2020,1367,703
3/7/2020,1367,703
3/8/2020,1367,703
3/9/2020,1367,703
3/10/2020,1367,703
3/11/2020,1367,703
3/12/2020,1367,703
3/13/2020,1367,703
3/14/2020,1367,703
3/15/2020,1367,703
3/16/2020,1367,703
3/17/2020,1367,703
3/18/2020,1367,703
3/19/2020,1367,703
3/20/2020,1367,703
3/21/2020,1367,101
3/22/2020,1367,101
3/23/2020,1367,101
3/24/2020,1367,101
3/25/2020,1367,101
3/26/2020,1367,101
